Formula,Algorithm,Clauses Prop,Time
179,Local Search,0.9786,0.2393
179,Genetic,0.9855,4.5583
179,DPLL,,0.5481
180,Local Search,0.9723,0.2005
180,Genetic,0.9773,4.5301
180,DPLL,,0.001
181,Local Search,0.9723,0.2504
181,Genetic,0.9768,4.5653
181,DPLL,,3.4597
182,Local Search,0.9723,0.1994
182,Genetic,0.98,4.5204
182,DPLL,,3.8432
183,Local Search,0.9664,0.214
183,Genetic,0.975,4.5894
183,DPLL,,0.001
184,Local Search,0.9759,0.2345
184,Genetic,0.9741,6.0425
184,DPLL,,1.1139
185,Local Search,0.975,0.2661
185,Genetic,0.9786,7.6267
185,DPLL,,6.0036
186,Local Search,0.97,0.3526
186,Genetic,0.98,7.9297
186,DPLL,,4.4048
187,Local Search,0.9727,0.3563
187,Genetic,0.985,7.9566
187,DPLL,,0.041
188,Local Search,0.9777,0.4384
188,Genetic,0.9795,5.4376
188,DPLL,,0.001
189,Local Search,0.9859,0.2433
189,Genetic,0.9773,4.8329
189,DPLL,,6.5492
190,Local Search,0.9773,0.2453
190,Genetic,0.9786,4.8451
190,DPLL,,3.4713
191,Local Search,0.975,0.2541
191,Genetic,0.9768,6.6743
191,DPLL,,2.7803
192,Local Search,0.9714,0.5423
192,Genetic,0.9732,8.2103
192,DPLL,,4.0498
193,Local Search,0.9686,0.4754
193,Genetic,0.9714,5.892
193,DPLL,,2.4194
194,Local Search,0.9732,0.2336
194,Genetic,0.975,4.5879
194,DPLL,,2.6229
195,Local Search,0.9764,0.2218
195,Genetic,0.98,4.5773
195,DPLL,,2.3586
196,Local Search,0.9709,0.2273
196,Genetic,0.9736,4.5235
196,DPLL,,3.6871
197,Local Search,0.9732,0.2108
197,Genetic,0.9764,4.5756
197,DPLL,,4.1791
198,Local Search,0.9768,0.2309
198,Genetic,0.98,4.6922
198,DPLL,,3.3725
199,Local Search,0.975,0.2655
199,Genetic,0.9777,4.6105
199,DPLL,,4.7431
200,Local Search,0.9707,0.2127
200,Genetic,0.9791,4.759
200,DPLL,,1.7125
201,Local Search,0.9707,0.2374
201,Genetic,0.9733,4.6814
201,DPLL,,2.8989
202,Local Search,0.9738,0.2404
202,Genetic,0.9809,4.7624
202,DPLL,,5.228
203,Local Search,0.9702,0.2579
203,Genetic,0.9702,4.7757
203,DPLL,,1.3253
204,Local Search,0.9742,0.2344
204,Genetic,0.9742,4.8814
204,DPLL,,2.1972
205,Local Search,0.9809,0.3683
205,Genetic,0.9804,8.6119
205,DPLL,,2.0923
206,Local Search,0.9751,0.367
206,Genetic,0.9773,7.4142
206,DPLL,,0.0
207,Local Search,0.9756,0.3226
207,Genetic,0.9764,8.2166
207,DPLL,,4.4051
208,Local Search,0.9742,0.3923
208,Genetic,0.9778,8.8629
208,DPLL,,1.7233
209,Local Search,0.9791,0.5862
209,Genetic,0.9787,10.017
209,DPLL,,3.1615
210,Local Search,0.9658,0.3719
210,Genetic,0.976,7.3733
210,DPLL,,1.8909
211,Local Search,0.9702,0.2959
211,Genetic,0.9764,6.934
211,DPLL,,3.7772
212,Local Search,0.9764,0.2332
212,Genetic,0.9809,4.7208
212,DPLL,,4.3817
213,Local Search,0.976,0.3186
213,Genetic,0.9751,8.2178
213,DPLL,,2.7906
214,Local Search,0.9707,0.34
214,Genetic,0.9787,10.6444
214,DPLL,,5.6334
215,Local Search,0.9729,0.3499
215,Genetic,0.9764,6.8932
215,DPLL,,2.5925
216,Local Search,0.9764,0.3176
216,Genetic,0.9756,6.3518
216,DPLL,,1.9352
217,Local Search,0.9782,0.3265
217,Genetic,0.98,6.8875
217,DPLL,,0.0002
218,Local Search,0.9751,0.3372
218,Genetic,0.9773,7.0726
218,DPLL,,3.859
219,Local Search,0.9769,0.6695
219,Genetic,0.9742,9.4113
219,DPLL,,3.1339
220,Local Search,0.9716,0.26
220,Genetic,0.9769,5.7934
220,DPLL,,0.94
221,Local Search,0.9724,0.2676
221,Genetic,0.9769,5.6592
221,DPLL,,2.621
222,Local Search,0.9698,0.2605
222,Genetic,0.9769,6.3838
222,DPLL,,2.7182
223,Local Search,0.9662,0.3445
223,Genetic,0.9773,6.6498
223,DPLL,,1.9129
224,Local Search,0.9684,0.2826
224,Genetic,0.9729,6.4637
224,DPLL,,2.6198
225,Local Search,0.9662,0.2752
225,Genetic,0.9769,7.0777
225,DPLL,,4.3443
226,Local Search,0.9711,0.3319
226,Genetic,0.9764,6.2481
226,DPLL,,4.4013
227,Local Search,0.9747,0.2308
227,Genetic,0.9778,4.6583
227,DPLL,,2.4611
228,Local Search,0.9724,0.2253
228,Genetic,0.9773,4.6987
228,DPLL,,2.5228
229,Local Search,0.972,0.2499
229,Genetic,0.9769,4.6342
229,DPLL,,2.5447
230,Local Search,0.9689,0.218
230,Genetic,0.9747,4.7028
230,DPLL,,1.4312
231,Local Search,0.968,0.1999
231,Genetic,0.9733,4.7476
231,DPLL,,3.1529
232,Local Search,0.9733,0.2056
232,Genetic,0.9791,4.6929
232,DPLL,,1.2229
233,Local Search,0.9782,0.2274
233,Genetic,0.9773,4.7834
233,DPLL,,1.2627
234,Local Search,0.9733,0.2544
234,Genetic,0.9742,4.8685
234,DPLL,,2.7869
235,Local Search,0.9764,0.2341
235,Genetic,0.9831,4.6161
235,DPLL,,2.659
236,Local Search,0.9729,0.1858
236,Genetic,0.9733,4.619
236,DPLL,,4.0547
237,Local Search,0.9711,0.2133
237,Genetic,0.9818,4.7308
237,DPLL,,0.4352
238,Local Search,0.9698,0.2058
238,Genetic,0.9773,4.6826
238,DPLL,,0.0011
239,Local Search,0.9787,0.2258
239,Genetic,0.976,4.6802
239,DPLL,,2.8469
240,Local Search,0.9729,0.2222
240,Genetic,0.9747,4.6938
240,DPLL,,1.3203
241,Local Search,0.9747,0.2508
241,Genetic,0.9809,4.7121
241,DPLL,,2.4516
242,Local Search,0.9782,0.2317
242,Genetic,0.9836,4.7873
242,DPLL,,2.245
243,Local Search,0.9724,0.2157
243,Genetic,0.9796,4.9163
243,DPLL,,0.0
244,Local Search,0.9751,0.2455
244,Genetic,0.9773,4.9251
244,DPLL,,1.4426
245,Local Search,0.9738,0.214
245,Genetic,0.98,4.9073
245,DPLL,,2.9186
246,Local Search,0.9787,0.2485
246,Genetic,0.98,4.8632
246,DPLL,,1.7074
247,Local Search,0.9716,0.2556
247,Genetic,0.9747,4.8539
247,DPLL,,1.223
248,Local Search,0.9747,0.261
248,Genetic,0.9804,4.844
248,DPLL,,1.6498
249,Local Search,0.9782,0.2519
249,Genetic,0.9818,4.8827
249,DPLL,,0.0
250,Local Search,0.9813,0.306
250,Genetic,0.9787,5.0516
250,DPLL,,0.4144
251,Local Search,0.977,0.2995
251,Genetic,0.9826,5.0581
251,DPLL,,0.0009
252,Local Search,0.9726,0.2546
252,Genetic,0.9826,4.8962
252,DPLL,,1.9365
253,Local Search,0.9683,0.1946
253,Genetic,0.9783,4.8971
253,DPLL,,2.091
254,Local Search,0.973,0.2075
254,Genetic,0.977,4.8603
254,DPLL,,1.6974
255,Local Search,0.9657,0.2217
255,Genetic,0.9752,4.8521
255,DPLL,,1.4937
256,Local Search,0.9726,0.289
256,Genetic,0.9822,4.8448
256,DPLL,,1.5588
257,Local Search,0.9765,0.283
257,Genetic,0.9739,4.8434
257,DPLL,,0.0
258,Local Search,0.9709,0.2359
258,Genetic,0.9765,4.8775
258,DPLL,,2.0261
259,Local Search,0.9739,0.2314
259,Genetic,0.9739,4.8529
259,DPLL,,1.659
260,Local Search,0.9778,0.2255
260,Genetic,0.9817,5.0246
260,DPLL,,1.6014
261,Local Search,0.9696,0.2501
261,Genetic,0.9748,4.971
261,DPLL,,0.0
262,Local Search,0.9739,0.2361
262,Genetic,0.98,4.9035
262,DPLL,,1.9754
263,Local Search,0.9726,0.2614
263,Genetic,0.9813,4.7091
263,DPLL,,1.9988
264,Local Search,0.9704,0.2744
264,Genetic,0.9735,4.68
264,DPLL,,0.001
265,Local Search,0.9726,0.2544
265,Genetic,0.9761,4.7701
265,DPLL,,1.4989
