Formula,Algorithm,Clauses Prop,Time
97,Local Search,0.98,0.241
97,Genetic,0.98,5.108
97,DPLL,,0.0
98,Local Search,0.98,0.277
98,Genetic,0.98,5.003
98,DPLL,,6.979
99,Local Search,0.98,0.229
99,Genetic,0.98,5.076
99,DPLL,,0.0
100,Local Search,0.97,0.264
100,Genetic,0.99,5.153
100,DPLL,,2.461
101,Local Search,0.98,0.285
101,Genetic,0.98,5.238
101,DPLL,,4.515
102,Local Search,0.97,0.234
102,Genetic,0.98,5.229
102,DPLL,,0.0
103,Local Search,0.97,0.269
103,Genetic,0.98,5.162
103,DPLL,,2.539
104,Local Search,0.97,0.21
104,Genetic,0.98,5.379
104,DPLL,,7.241
105,Local Search,0.98,0.247
105,Genetic,0.98,5.329
105,DPLL,,4.194
106,Local Search,0.98,0.262
106,Genetic,0.98,5.331
106,DPLL,,4.424
107,Local Search,0.98,0.241
107,Genetic,0.98,5.326
107,DPLL,,0.001
108,Local Search,0.98,0.262
108,Genetic,0.98,5.332
108,DPLL,,1.068
109,Local Search,0.98,0.256
109,Genetic,0.98,5.39
109,DPLL,,0.002
110,Local Search,0.98,0.273
110,Genetic,0.98,5.365
110,DPLL,,4.164
111,Local Search,0.97,0.259
111,Genetic,0.98,5.368
111,DPLL,,2.26
112,Local Search,0.97,0.256
112,Genetic,0.98,5.281
112,DPLL,,0.0
113,Local Search,0.97,0.263
113,Genetic,0.98,5.351
113,DPLL,,5.43
114,Local Search,0.97,0.219
114,Genetic,0.98,5.303
114,DPLL,,2.162
115,Local Search,0.98,0.253
115,Genetic,0.98,5.237
115,DPLL,,0.0
116,Local Search,0.98,0.302
116,Genetic,0.98,5.224
116,DPLL,,2.336
117,Local Search,0.98,0.26
117,Genetic,0.98,5.207
117,DPLL,,0.002
118,Local Search,0.98,0.279
118,Genetic,0.98,5.229
118,DPLL,,0.203
119,Local Search,0.98,0.328
119,Genetic,0.98,5.263
119,DPLL,,0.0
120,Local Search,0.98,0.261
120,Genetic,0.98,5.239
120,DPLL,,8.35
121,Local Search,0.97,0.22
121,Genetic,0.98,5.23
121,DPLL,,0.187
122,Local Search,0.97,0.274
122,Genetic,0.98,5.293
122,DPLL,,0.0
123,Local Search,0.98,0.284
123,Genetic,0.98,5.298
123,DPLL,,0.557
124,Local Search,0.98,0.262
124,Genetic,0.98,5.353
124,DPLL,,0.001
125,Local Search,0.98,0.256
125,Genetic,0.98,5.287
125,DPLL,,3.24
126,Local Search,0.97,0.283
126,Genetic,0.98,5.338
126,DPLL,,0.002
127,Local Search,0.98,0.266
127,Genetic,0.98,5.327
127,DPLL,,0.708
128,Local Search,0.98,0.27
128,Genetic,0.98,5.286
128,DPLL,,0.001
129,Local Search,0.97,0.241
129,Genetic,0.98,5.259
129,DPLL,,4.068
130,Local Search,0.97,0.244
130,Genetic,0.98,5.251
130,DPLL,,2.325
131,Local Search,0.98,0.285
131,Genetic,0.98,5.253
131,DPLL,,0.0
132,Local Search,0.97,0.266
132,Genetic,0.98,5.271
132,DPLL,,6.715
133,Local Search,0.98,0.244
133,Genetic,0.98,5.211
133,DPLL,,2.441
134,Local Search,0.97,0.267
134,Genetic,0.98,5.142
134,DPLL,,0.785
135,Local Search,0.98,0.246
135,Genetic,0.98,5.214
135,DPLL,,0.001
136,Local Search,0.98,0.233
136,Genetic,0.97,5.247
136,DPLL,,2.211
137,Local Search,0.98,0.241
137,Genetic,0.99,5.167
137,DPLL,,0.114
138,Local Search,0.97,0.271
138,Genetic,0.98,5.113
138,DPLL,,0.0
139,Local Search,0.97,0.235
139,Genetic,0.98,5.083
139,DPLL,,2.144
140,Local Search,0.98,0.252
140,Genetic,0.98,5.062
140,DPLL,,1.486
141,Local Search,0.98,0.261
141,Genetic,0.98,5.072
141,DPLL,,0.0
142,Local Search,0.98,0.269
142,Genetic,0.98,5.159
142,DPLL,,1.687
143,Local Search,0.97,0.2
143,Genetic,0.97,5.208
143,DPLL,,0.0
144,Local Search,0.98,0.288
144,Genetic,0.98,5.247
144,DPLL,,1.372
145,Local Search,0.98,0.258
145,Genetic,0.98,5.21
145,DPLL,,3.283
146,Local Search,0.98,0.249
146,Genetic,0.98,5.192
146,DPLL,,0.0
147,Local Search,0.98,0.301
147,Genetic,0.99,5.077
